model	acc_org	acc_rand
ComplEx	0.7311111111111112	0.4866666666666667
DeCaL	0.5592592592592592	0.5007407407407407
DistMult	0.5281481481481481	0.49333333333333335
Keci	0.9874074074074074	0.52
OMult	0.902962962962963	0.5044444444444445
Pykeen_MuRE	0.9474074074074074	0.4888888888888889
QMult	0.9451851851851852	0.5
TransE	0.9844444444444445	0.49703703703703705
