relation,MAE_GLOBAL,RMSE_GLOBAL,MAE_LOCAL,RMSE_LOCAL
diedOnDate,110.11998181708654,215.44897341666663,72.635341100235,128.14783996516897
happenedOnDate,200.56113338679498,285.94840246562524,200.56113338679498,285.94840246562524
hasLatitude,10.231119347777417,15.970473276132859,3.2634814830440617,7.489438812524621
hasLongitude,62.27198347616046,72.8326952264861,15.69471136670137,35.11736216640882
wasBornOnDate,43.45529165196959,111.25039159758215,32.80357331537763,64.27803286406504
wasCreatedOnDate,103.24250307384177,175.27757948352541,153.5454656734692,248.45771346129885
wasDestroyedOnDate,125.94706929062754,259.0619518222792,119.3243422392195,254.12475448233894
