relation,MAE_GLOBAL,RMSE_GLOBAL,MAE_LOCAL,RMSE_LOCAL
diedOnDate,58.508044039156516,171.63099601728553,55.071522606649445,131.99781073277217
happenedOnDate,54.443786039657056,76.16454951848654,54.443786039657056,76.16454951848654
hasLatitude,9.169515232743358,14.514308848979715,2.738884981932357,6.0186614519084705
hasLongitude,60.46644093723075,71.78423349698238,9.914220768316117,26.90248307758902
wasBornOnDate,26.49482592494172,49.56316534398423,24.099713491446273,37.74374150327892
wasCreatedOnDate,91.56536779363672,156.33839385319513,148.03485538832567,219.21155390690646
wasDestroyedOnDate,42.63853959837741,56.51639850191402,43.55363078296159,59.04235198970043
