relation,MAE_GLOBAL,RMSE_GLOBAL,MAE_LOCAL,RMSE_LOCAL
film.film.initial_release_date,13.629620311954229,18.3735104634088,11.288651845557434,16.719706783712425
location.dated_location.date_founded,177.6195201543227,318.7592075704486,132.09051707081503,324.57541875437175
location.geocode.latitude,11.304091153067763,17.067604832114473,4.124569809317878,9.068928963866425
location.geocode.longitude,60.91209774116854,71.27382115878909,15.492605388589567,33.15832422831692
location.location.area,781060.8239849083,3675473.153182414,1597283.2853765842,7020889.41970013
organization.organization.date_founded,65.77102248841771,100.72851682926047,65.05323963140407,102.25629168161606
people.deceased_person.date_of_death,45.59836053907569,71.24589948145318,43.820443260059136,89.3597352906571
people.person.date_of_birth,27.21382745812204,41.46579911459898,22.895086672688432,61.92431725127519
people.person.height_meters,0.08009785012642157,0.09869108003214376,0.0882516683668305,0.10894993392933011
people.person.weight_kg,18.86149295044156,24.207625694307282,16.293448484848486,22.40099472016984
topic_server.population_number,7350020.970694781,15598716.35116864,99022923.44226067,346967155.8050572
