relation,KGA_MAE,NAP++_MAE,MrAP_MAE
wasBornOnDate,16.3,23.2,19.7
diedOnDate,30.8,45.7,34.0
wasCreatedOnDate,58.2,83.5,70.4
wasDestroyedOnDate,23.3,38.2,34.6
happenedOnDate,29.9,73.7,54.1
hasLatitude,3.4,8.7,2.8
hasLongitude,7.2,43.1,5.7
