relation,MAE,RMSE
birthDate,16.702034323943437,25.929622261626903
completionDate,23.895486180197004,30.371698941276062
deathDate,24.0307168141998,34.83272012707319
formationDate,77.358281921875,89.16523236155413
foundingDate,40.05853611276357,54.39558227269177
height,7.592072255830986,10.004972069805236
releaseDate,12.500157687872028,16.004408944014255
wgs84_pos#lat,7.6636713389847495,10.964290806096495
wgs84_pos#long,25.576819783326215,39.74190320756741
